id,created_at,cve,body
114443643181836421,2025-05-03T11:23:30.000Z,"['CVE-2025-1976', 'CVE-2025-3928']","Alright folks, heads up! CISA just added two vulnerabilities to their actively exploited list: one in Brocade Fabric OS (CVE-2025-1976) and another in Commvault Web Server (CVE-2025-3928). What's the takeaway? Patch these ASAP! Seriously, don't delay, because leaving these unpatched basically rolls out the red carpet for attackers. We're talking nasty code injection possibilities with the Brocade flaw, and equally unwelcome web shell access via the Commvault issue. Definitely not something you want to deal with. So, the big question: have you already checked if your systems are potentially exposed? Better safe than sorry! ,Cybersecurity ,InfoSec ,PatchNow ,VulnerabilityManagement ,CVE"
114424395593995699,2025-04-30T01:48:35.983Z,['CVE-2025-32444'],"CVE-2025-32444 - ""vLLM Mooncake ZeroMQ Remote Code Execution"" April 30, 2025 at 01:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114423922060759169,2025-04-29T23:48:10.434Z,['CVE-2025-29906'],"CVE-2025-29906 - Finit TTY Authentication Bypass Vulnerability April 29, 2025 at 11:16PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114423451055151081,2025-04-29T21:48:23.456Z,['CVE-2025-46348'],"CVE-2025-46348 - YesWiki Unauthenticated Archive Creation and Download Vulnerability April 29, 2025 at 09:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114423451021626092,2025-04-29T21:48:22.946Z,['CVE-2025-3501'],"CVE-2025-3501 - Keycloak Certificate Verification Bypass April 29, 2025 at 09:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114423450987855866,2025-04-29T21:48:22.430Z,['CVE-2025-4039'],"CVE-2025-4039 - PHPGurukul Rail Pass Management System SQL Injection April 28, 2025 at 10:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422508500324960,2025-04-29T17:48:41.211Z,['CVE-2025-23181'],"CVE-2025-23181 - Apache Tomcat Unprivileged Command Execution Vulnerability April 29, 2025 at 05:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422508457622087,2025-04-29T17:48:40.563Z,['CVE-2025-23180'],"CVE-2025-23180 - Apache HTTP Server Unprivileged Process Execution April 29, 2025 at 05:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422508421299268,2025-04-29T17:48:40.006Z,['CVE-2025-2907'],"CVE-2025-2907 - WordPress Order Delivery Date Plugin Authentication Bypass and CSRF Vulnerability April 26, 2025 at 06:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422443703015530,2025-04-29T17:32:11.000Z,['CVE-2025-32433'],"[Translation] How I used AI to create an exploit working exploit for the CVE-2025-32433 before the public POC appeared, can I just write an exploit for me? The GPT-4 not only understood the description of CVE, but also found out which Commit introduced the correction, compared it with the old code, found the difference, found vulnerability and even wrote evidence of the concept. Let's look at how I came to this. https: // habr.com/ru/articles/905552/ ,gpt ,Information Security ,cve ,AI ,Artificial intelligence ,cursor ,Pentest ,Penetration_Testing ,POC"
114422273849158475,2025-04-29T16:49:00.738Z,['CVE-2025-2817'],"CVE-2025-2817 - Mozilla Firefox System File Privilege Escalation April 29, 2025 at 02:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422273786358842,2025-04-29T16:48:59.766Z,['CVE-2025-24252'],"CVE-2025-24252 - Apple macOS Use-After-Free Vulnerability April 29, 2025 at 03:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422273749869602,2025-04-29T16:48:59.304Z,['CVE-2025-45953'],"CVE-2025-45953 - PHPGurukul Hostel Management System Session Hijacking April 28, 2025 at 08:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422273703151250,2025-04-29T16:48:58.492Z,['CVE-2025-45949'],"CVE-2025-45949 - PHPGurukul User Registration & Login and User Management System Session Hijacking Vulnerability April 28, 2025 at 08:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114422273664998534,2025-04-29T16:48:57.912Z,['CVE-2025-45947'],"CVE-2025-45947 - PhpGurukul Online Banquet Booking System Remote Code Execution Vulnerability April 28, 2025 at 08:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114421140958132980,2025-04-29T12:00:54.193Z,['CVE-2025-43857'],"Lambda Watchdog detected a new MEDIUM severity CVE CVE-2025-43857 was detected in the latest AWS Lambda image scan affecting the net-imap package in 4 images. Check the full report <URL> ,AWS ,Lambda ,CVE ,CloudSecurity ,Serverless"
114417790264877305,2025-04-28T21:48:46.653Z,['CVE-2025-34491'],"CVE-2025-34491 - GFI MailEssentials .NET Deserialization Remote Code Execution Vulnerability April 28, 2025 at 08:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114416374759123338,2025-04-28T15:48:47.748Z,['CVE-2015-2079'],"CVE-2015-2079 - Usermin File Open Vulnerability April 28, 2025 at 03:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114416374724829885,2025-04-28T15:48:47.227Z,['CVE-2025-46661'],"CVE-2025-46661 - IPW Systems Metazo Server-Side Template-Injection Vulnerability April 28, 2025 at 01:15PM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
114415430262931878,2025-04-28T11:48:35.881Z,['CVE-2025-3200'],"CVE-2025-3200 - ""Com-Server TLS Protocol Downgrade Vulnerability"" April 28, 2025 at 10:15AM <URL> ,CVE ,IOC ,CTI ,ThreatIntelligence ,ThreatIntel ,Cybersecurity ,Recon"
