cve,created_at,source,body
['CVE-2025-47273'],2025-05-20,mastodon, New HIGH CVE detected in AWS Lambda  CVE-2025-47273 impacts setuptools in 3 Lambda base images. Details:  https:// github.com/aws/aws-lambda-base -images/issues/269 More:  https:// lambdawatchdog.com/ # AWS   # Lambda   # CVE   # CloudSecurity   # Serverless
['CVE-2025-3600'],2025-05-19,mastodon,# OT   # Advisory  VDE-2025-041 Weidmueller: ResMa is affected by a Vulnerability for ASP.NET AJAX Weidmueller product ResMa is affected by ASP.NET AJAX vulnerability. Weidmueller has released a new firmware for the affected product to fix the vulnerability. # CVE  CVE-2025-3600 https:// certvde.com/en/advisories/VDE- 2025-041 # CSAF   https:// weidmueller.csaf-tp.certvde.co m/.well-known/csaf/white/2025/vde-2025-041.json
['CVE-2022-46908'],2025-05-14,mastodon, New HIGH CVE detected in AWS Lambda  CVE-2022-46908 impacts `sqlite-libs` in 16 Lambda base images. Details:  https:// github.com/aws/aws-lambda-base -images/issues/268 More:  https:// lambdawatchdog.com/ # AWS   # Lambda   # CVE   # CloudSecurity   # Serverless
['CVE-2025-32415'],2025-05-14,mastodon, New MEDIUM CVE detected in AWS Lambda  CVE-2025-32415 impacts `libxml2` in 16 Lambda base images. Details:  https:// github.com/aws/aws-lambda-base -images/issues/267 More:  https:// lambdawatchdog.com/ # AWS   # Lambda   # CVE   # CloudSecurity   # Serverless
['CVE-2025-32414'],2025-05-14,mastodon, New MEDIUM CVE detected in AWS Lambda  CVE-2025-32414 impacts `libxml2` in 16 Lambda base images. Details:  https:// github.com/aws/aws-lambda-base -images/issues/266 More:  https:// lambdawatchdog.com/ # AWS   # Lambda   # CVE   # CloudSecurity   # Serverless
['CVE-2025-2813'],2025-05-13,mastodon,# OT   # Advisory  VDE-2025-029 Phoenix Contact: Security Advisory for AXL F BK and IL BK bus couplers A denial of service (DoS) attack targeting port 80 (http service) can overload the device (CWE-770). This behaviour has been observed when running network security scanners. # CVE  CVE-2025-2813 https:// certvde.com/en/advisories/VDE- 2025-029 # CSAF   https:// phoenixcontact.csaf-tp.certvde .com/.well-known/csaf/white/2025/vde-2025-029.json
['CVE-2012-6708'],2025-05-13,mastodon,# OT   # Advisory  VDE-2025-024 Wiesemann & Theis: Multiple products from Wiesemann & Theis support deprecated jQuery version Multiple W&T devices are shipped with a jQuery version with a known XSS vulnerability. # CVE  CVE-2012-6708 https:// certvde.com/en/advisories/VDE- 2025-024 # CSAF   https:// wut.csaf-tp.certvde.com/.well- known/csaf/white/2025/vde-2025-024.json
['CVE-2025-41645'],2025-05-13,mastodon,"# OT   # Advisory  VDE-2025-010 SMA: Sunny Portal demo system privilege escalation A security researcher discovered a privilege escalation vulnerability in the demo system area of the SMA Classic Portal, www.sunnyportal.com. Only systems of other users have been affected who unintendedly and illicitly had added their non-demo systems to the demo system area. # CVE  CVE-2025-41645 https:// certvde.com/en/advisories/VDE- 2025-010 # CSAF   https:// sma.csaf-tp.certvde.com/.well- known/csaf/white/2025/vde-2025-010.json"
['CVE-2025-3496'],2025-05-13,mastodon,"# OT   # Advisory  VDE-2025-026 AUMA Riester: Buffer overflow in service telegram Sending too much data in the service telegram of AUMA actuators leads to a buffer overflow in the actuator controls. Depending on the actuator, the service telegram is transmitted either via Bluetooth or RS232 # CVE  CVE-2025-3496 https:// certvde.com/en/advisories/VDE- 2025-026 # CSAF   https:// auma.csaf-tp.certvde.com/.well -known/csaf/white/2025/vde-2025-026.json"
['CVE-2025-27599'],2025-05-09,mastodon,"CVE-2025-27599 is a really clever and creative attack targeting  # ElementX  Android. A malicious app can exploit this vulnerability to launch ElementX in a WebView with any URL, enabling attackers to:    - Launch phishing attacks - Record and exfiltrate the victim's video and audio (due to Element Call permissions) Full advisory:  https:// herolab.usd.de/security-adviso ries/usd-2025-0010/ Big shout-out to my awesome colleagues for discovering this and to Element for their quick response. # Matrix   # Element   # CVE"
